beneficiary_id,receiver_account,receiver_name,bank_name,country,risk_rating,fraud_link_count,sanction_match_flag,created_at
BENE_00028,GB86MDJE42146651882222,Christopher Baker,Jones-Davidson Bank,Portugal,High,0,False,2024-07-11 12:04:50.550198
BENE_00029,GB24YSUL22541709408432,Kevin Johnson,Haynes LLC Bank,Rwanda,Low,0,False,2023-11-23 12:04:50.550198
BENE_00030,GB61YHCT53192106842658,Scott Garrett,Gregory Group Bank,Zambia,Medium,0,False,2023-11-06 12:04:50.551198
BENE_00031,GB59RBLW30430041195695,Marvin Mendoza,"Johnson, Nguyen and Perry Bank",Netherlands Antilles,Medium,1,False,2024-06-03 12:04:50.551198
BENE_00032,GB92GVJD66720170760172,Keith Macdonald,Good-Williams Bank,Australia,Low,1,False,2024-07-21 12:04:50.551198
BENE_00033,GB63BODH46825801941667,Michael Reed,Pitts-Gould Bank,Costa Rica,High,0,False,2025-02-06 12:04:50.552198
BENE_00034,GB39SGQA20761561176546,Carolyn Brooks,Lang LLC Bank,Sierra Leone,Medium,0,False,2025-10-10 12:04:50.552198
BENE_00035,GB50YIPA11548908815578,Timothy May,Riggs and Sons Bank,Moldova,Low,1,False,2024-01-11 12:04:50.552198
BENE_00036,GB98JNLW86409405222462,Chase Johnson,"Stone, Fisher and Taylor Bank",United States Virgin Islands,High,1,False,2024-03-07 12:04:50.552198
BENE_00037,GB95YJYU90860137428701,John Cooper,Rose PLC Bank,South Georgia and the South Sandwich Islands,Low,0,False,2024-03-16 12:04:50.552198
BENE_00038,GB39DSNS14084364550732,Jodi Elliott,"Lang, Boyd and Boyer Bank",Kazakhstan,High,0,False,2025-06-15 12:04:50.553198
BENE_00039,GB85GDEO43981004040973,Stephanie Gates,Williams Inc Bank,Kuwait,Medium,0,False,2025-12-21 12:04:50.553701
BENE_00040,GB04MYYS01303933534120,Joseph Potter,"Reeves, King and Lindsey Bank",Eritrea,Low,0,False,2024-12-13 12:04:50.553701
BENE_00041,GB20QIFV86420095296920,Timothy Ware,Carpenter-Fuentes Bank,Bulgaria,Medium,0,False,2025-08-27 12:04:50.554205
BENE_00042,GB41DGXJ04854550257176,Julie Allen,"Rowland, Johnson and Ritter Bank",Moldova,Low,0,False,2024-10-16 12:04:50.554205
BENE_00043,GB67MWSN91591404928679,Charles Turner,Rush-Brown Bank,Guyana,Low,0,False,2025-03-17 12:04:50.554205
BENE_00044,GB31CFCR31996432788128,Donald Taylor,Bennett Ltd Bank,Djibouti,High,0,False,2025-02-16 12:04:50.554205
BENE_00045,GB90JLZT20881846744985,Sara Brown,"Patel, Martinez and Mendoza Bank",Guyana,Medium,0,False,2024-11-21 12:04:50.555211
BENE_00046,GB92NQBM66632066595690,Jennifer Williams,Diaz-Martin Bank,Netherlands Antilles,Low,0,False,2025-11-30 12:04:50.555211
BENE_00047,GB94HKLS98066969361001,Courtney Lewis,Jones-Rogers Bank,Sierra Leone,Low,0,False,2025-08-20 12:04:50.555211
BENE_00048,GB42QZPK75483044396415,Michael Smith,Reese LLC Bank,Bulgaria,Low,0,False,2024-08-01 12:04:50.556211
BENE_00049,GB71SBTH44261744288276,Sean Oconnell,"Rios, Rosario and Miller Bank",Bosnia and Herzegovina,Medium,0,False,2025-12-30 12:04:50.556211
BENE_00050,GB17UARX00600500269433,George Walsh,Lopez and Sons Bank,Pitcairn Islands,High,1,False,2025-01-20 12:04:50.556211
BENE_00051,GB35XMLB94094895479264,Gina Morgan,Davidson-Chambers Bank,Andorra,High,0,False,2025-01-25 12:04:50.556211
BENE_00052,GB19MCUW92519175643162,Susan Williams,"Hill, Boyd and Clark Bank",Cyprus,Low,0,False,2023-10-18 12:04:50.557210
BENE_00053,GB89AXRH63924649339934,Brittany Norman,"Ballard, Moore and Cook Bank",Cyprus,High,0,False,2026-03-01 12:04:50.557714
BENE_00054,GB32VADI07387809713174,Katie Zimmerman,Neal-Jones Bank,Switzerland,Low,0,False,2026-02-06 12:04:50.557714
BENE_00055,GB38PCSJ61732698796649,Laura Jordan,Mcguire Ltd Bank,Angola,Low,0,False,2024-10-06 12:04:50.557714
BENE_00056,GB12HFUL69447028875800,Mark Wade,Adams Ltd Bank,El Salvador,Low,1,False,2023-11-20 12:04:50.557714
BENE_00057,GB57HRDS37965084801985,Theresa Martin,"Blake, Evans and Galvan Bank",China,Low,0,False,2024-01-25 12:04:50.557714
BENE_00058,GB62SMEF85406782637352,Lisa Hall,Perez-Mitchell Bank,Guatemala,High,1,False,2026-02-10 12:04:50.557714
BENE_00059,GB32LLMU03020805680285,Donald Sims,Nelson Inc Bank,Cambodia,Low,1,False,2024-10-11 12:04:50.559218
BENE_00060,GB45FVQL04061880471786,Eric Mitchell,Howard and Sons Bank,Belarus,Low,0,False,2025-02-08 12:04:50.559218
BENE_00061,GB77WUZI42540604378221,Isabella Nunez,Olsen-Davis Bank,Mayotte,Critical,6,True,2025-05-17 12:04:50.559218
BENE_00062,GB54LSAM75925667349090,Sydney Vargas,Ramirez Group Bank,Austria,Low,0,False,2024-08-07 12:04:50.559218
BENE_00063,GB61SWMP67817674997679,Dylan Dyer Jr.,Reynolds-Wagner Bank,Panama,High,0,False,2024-08-01 12:04:50.559218
BENE_00064,GB76OHNH33341892091448,Mia Long,"Morrison, Brooks and Fox Bank",Samoa,Low,0,False,2023-09-30 12:04:50.560225
BENE_00065,GB29EOKJ18730855846528,Mr. Philip Brown,Cox-Murphy Bank,Angola,Medium,0,False,2024-01-14 12:04:50.560225
BENE_00066,GB05KCYU51720135308071,Bryan Sweeney,Garcia Inc Bank,Germany,Low,0,False,2026-01-13 12:04:50.560225
BENE_00067,GB05TUNF01202825015055,Diana Franklin,"Mendez, Cross and Aguilar Bank",Iraq,Low,0,False,2025-11-15 12:04:50.561225
BENE_00068,GB14MOWY35127612863516,Sarah Strickland PhD,"Rodriguez, Hammond and Neal Bank",Albania,Medium,1,False,2025-11-13 12:04:50.561225
BENE_00069,GB45WFSM28355555355396,Jason Mitchell,"Lester, Chavez and Martin Bank",Rwanda,Low,0,False,2025-07-27 12:04:50.561225
BENE_00070,GB84RVCQ34700253946895,Ricky Price,"Hudson, Fisher and Potter Bank",Belgium,Low,0,False,2025-06-17 12:04:50.562224
BENE_00071,GB88KGRO72242884070801,Lynn Hensley DVM,Scott-Cherry Bank,Turkey,Low,0,False,2026-01-02 12:04:50.562224
BENE_00072,GB23ELQT77404396847031,Anne Goodwin,Rose and Sons Bank,Kenya,Low,0,False,2025-01-14 12:04:50.562224
BENE_00073,GB04IXXL14309128692876,Lisa Dyer,"Goodwin, Wilson and Richardson Bank",Mexico,Medium,0,False,2024-04-01 12:04:50.563225
BENE_00074,GB58UVKY04246178826960,Anthony Ward,Price Group Bank,Ukraine,Medium,0,False,2024-09-17 12:04:50.563225
BENE_00075,GB95EGPI78432726701598,Jeffery Cross,"Velazquez, Martin and Sharp Bank",Kyrgyz Republic,Low,0,False,2024-09-24 12:04:50.563225
BENE_00076,GB33RQGU59159630895787,Jason Cook,Eaton Ltd Bank,Saudi Arabia,High,0,False,2024-11-21 12:04:50.563225
BENE_00077,GB04FAPB30054830305232,Matthew Johnson,Harris-Sanders Bank,Greece,Low,0,False,2026-01-21 12:04:50.564227
BENE_00078,GB93ZMPD01951418481243,Sharon Hays,Anderson LLC Bank,Congo,Low,0,False,2025-01-17 12:04:50.564227
BENE_00079,GB44OWWZ93770666129879,Mary Richardson,"Hawkins, Griffith and Bradley Bank",Saint Lucia,Medium,1,False,2025-05-21 12:04:50.564731
BENE_00080,GB74SWUV99955796514946,Daniel Ward,"Johnson, Davis and Baker Bank",Guinea-Bissau,High,1,False,2024-08-20 12:04:50.565236
BENE_00081,GB25TZDU93383183488486,Elizabeth Mcdonald,Hall-Lloyd Bank,Belarus,Low,0,False,2025-09-28 12:04:50.565236
BENE_00082,GB86RQCK03785857384543,Maria Hogan,Brown Group Bank,United States Virgin Islands,Low,1,False,2024-06-23 12:04:50.565236
BENE_00083,GB39EEOI17620819205785,Jennifer Torres,Thomas-Galloway Bank,Seychelles,Low,1,False,2024-03-17 12:04:50.566241
BENE_00084,GB06UHJT87632286520413,Christopher Johnson,"Beasley, Jimenez and Gallegos Bank",Sri Lanka,Low,0,False,2025-02-24 12:04:50.566241
BENE_00085,GB64KUWD05094977254029,Faith Wright,"Ryan, Jackson and Allen Bank",Algeria,High,1,False,2023-12-08 12:04:50.566745
BENE_00086,GB89BJDJ59102748975243,Carolyn Joyce,Trevino-Shah Bank,Chile,High,0,False,2025-12-08 12:04:50.566745
BENE_00087,GB35ANTN83130998786279,Jessica Patel,Huynh and Sons Bank,Turkey,High,1,False,2024-12-11 12:04:50.566745
BENE_00088,GB11ZPFG73943421206255,Cheryl Beasley,Hunter Inc Bank,Spain,Low,0,False,2025-09-23 12:04:50.567750
BENE_00089,GB94CWBS05544914137983,Robert White,Parker-Bryant Bank,Kuwait,High,0,False,2024-02-28 12:04:50.567750
BENE_00090,GB15KHBG34996608756625,Erin Blair,Reynolds-Jones Bank,Somalia,Low,0,False,2024-09-02 12:04:50.567750
BENE_00091,GB59HTBI59927893831602,Brian Arnold,"Proctor, Hubbard and Grimes Bank",Peru,Low,0,False,2025-03-05 12:04:50.567750
BENE_00092,GB85CCNW79652432654346,Deborah Washington,Parker-Dalton Bank,Benin,Low,0,False,2024-12-28 12:04:50.569262
BENE_00093,GB96FXFD22611238476999,Christopher Pope,Miller Ltd Bank,Timor-Leste,Low,0,False,2025-06-26 12:04:50.569262
BENE_00094,GB57KFWW34862977347492,Mr. David Baker,"Duke, Smith and Clark Bank",Tanzania,Low,0,False,2024-07-21 12:04:50.570276
BENE_00095,GB69RFBK32265776079648,James Warren,Mcknight-Gonzalez Bank,Dominican Republic,Low,0,False,2025-09-23 12:04:50.570276
BENE_00096,GB07WHQT41994288702686,Elizabeth Martin,"Cross, Ward and Williams Bank",Bhutan,Low,0,False,2024-11-11 12:04:50.570276
BENE_00097,GB66TMCJ04503872475488,Karen Miles,"Mccormick, Dominguez and Cruz Bank",Northern Mariana Islands,High,0,False,2024-08-10 12:04:50.571274
BENE_00098,GB34HEJB74361584564637,Brittany Steele,Barber and Sons Bank,Solomon Islands,Medium,0,False,2024-12-25 12:04:50.571274
BENE_00099,GB45PBNY70703930662747,William Cannon,Meyer-Conner Bank,Malta,High,0,False,2026-03-01 12:04:50.571274
BENE_00100,GB21WAXY20861383339578,William Brewer,Brooks and Sons Bank,Tunisia,Low,0,False,2025-10-01 12:04:50.571274
BENE_00101,GB86FLPR40902638001137,Mark Hall,Castro Group Bank,Timor-Leste,Medium,0,False,2025-09-25 12:04:50.571274
BENE_00102,GB18SUAY01424316340891,Laura Logan,"Cain, Baker and Harvey Bank",Barbados,High,0,False,2024-10-31 12:04:50.572274
BENE_00103,GB96IUJQ21474841238042,Barbara Cox,"West, Mayo and Williams Bank",Niue,High,0,False,2025-06-17 12:04:50.572274
BENE_00104,GB21UIEE36163643515369,Michael Hanson,White Inc Bank,Belarus,Medium,0,False,2025-09-18 12:04:50.572274
BENE_00105,GB67BWQU27481044309478,Stephanie Martin,Barnett-Jones Bank,Norway,Medium,0,False,2024-12-24 12:04:50.573273
BENE_00106,GB84QIXE75814911715993,Deborah Taylor,"Holmes, Sanders and Mcneil Bank",Uganda,Low,0,False,2023-12-03 12:04:50.573273
BENE_00107,GB10NVMF38534021873763,Rita Hensley,Smith-Anderson Bank,Dominica,Low,0,False,2024-09-03 12:04:50.573273
BENE_00108,GB18RFCO45331453215808,Jon Welch,Carter and Sons Bank,Tanzania,High,0,False,2024-02-25 12:04:50.573273
BENE_00109,GB16TPQJ26090620133577,Charles Johnston,Brown-Becker Bank,Hong Kong,High,0,False,2024-08-14 12:04:50.574272
BENE_00110,GB52NSHS26852343008731,Steven Johnston,"Anderson, Williams and Thomas Bank",South Georgia and the South Sandwich Islands,Low,1,False,2023-12-14 12:04:50.574776
BENE_00111,GB72RZHL02997167144455,Brandon Hines,Parks Group Bank,Jersey,High,0,False,2025-11-02 12:04:50.574776
BENE_00112,GB27XNIA68286700626356,Dr. Alexis Fleming DVM,Davis and Sons Bank,Peru,Medium,0,False,2025-04-13 12:04:50.574776
BENE_00113,GB29ORVQ74224242534866,Nathan Hamilton,"Silva, West and Miller Bank",Iraq,High,1,False,2025-08-14 12:04:50.574776
BENE_00114,GB47DRPL08167795133245,Justin Baxter,Montgomery Ltd Bank,Burundi,Critical,5,True,2025-12-11 12:04:50.574776
BENE_00115,GB76CFTX19981385255116,Christina Robinson,"Barker, Griffin and Reeves Bank",Central African Republic,Low,0,False,2024-03-02 12:04:50.575781
BENE_00116,GB83HMQL15164920104912,Bobby Lopez,Brown LLC Bank,Brunei Darussalam,Low,0,False,2025-05-07 12:04:50.575781
BENE_00117,GB50KSBS33427105090897,Mr. Terry Fox DDS,Bryant and Sons Bank,Austria,High,0,False,2024-04-10 12:04:50.575781
BENE_00118,GB62KJFI31632540436511,Jennifer Wade,"Martin, Shaw and Bryant Bank",Liechtenstein,Medium,1,False,2023-10-18 12:04:50.575781
BENE_00119,GB61JBNO79185438115074,Mitchell Thompson,"Lopez, Reese and Jones Bank",Cyprus,High,1,False,2025-11-29 12:04:50.576786
BENE_00120,GB89GNWT63047633985834,Justin Fisher,Ruiz Group Bank,Bulgaria,High,0,False,2024-04-10 12:04:50.576786
BENE_00121,GB44VDGP84326003429286,Ashley Hall,Green and Sons Bank,Serbia,High,0,False,2025-02-13 12:04:50.576786
BENE_00122,GB39LFTR96961850288703,Maria Hensley,Jefferson Group Bank,Kazakhstan,High,0,False,2024-01-05 12:04:50.576786
BENE_00123,GB58XLTJ69603314094403,Dale Flores,Day-Estrada Bank,Saint Barthelemy,High,1,False,2025-05-06 12:04:50.577786
BENE_00124,GB52RLNV39075250377765,Keith Hall,"Nguyen, Valdez and Sanchez Bank",Congo,High,0,False,2025-08-18 12:04:50.577786
BENE_00125,GB64IFUN21543853041887,Ethan Casey,Martinez Ltd Bank,Falkland Islands (Malvinas),Medium,0,False,2026-02-16 12:04:50.577786
BENE_00126,GB89UGSW21853703074272,Anthony Harris,"Monroe, Duran and Grant Bank",Tunisia,Medium,0,False,2025-09-21 12:04:50.577786
BENE_00127,GB08QXBP59383926325038,Lisa Sullivan,Mosley-Wong Bank,Norfolk Island,Medium,0,False,2024-04-14 12:04:50.577786
BENE_00128,GB67TQZA34985205736477,Jane Jacobs,Bell and Sons Bank,Serbia,Medium,0,False,2023-12-27 12:04:50.579290
BENE_00129,GB59IHBW94581085858253,Connie Petersen,"Adams, Frederick and Meadows Bank",Central African Republic,Low,0,False,2025-10-26 12:04:50.579290
BENE_00130,GB35JXSS36883762650764,Tammy Scott,"Lewis, Conley and Mcbride Bank",Micronesia,Low,0,False,2025-06-29 12:04:50.579290
BENE_00131,GB91BFPA94854541491168,Robert Holden,"Wise, Jordan and Rose Bank",Nauru,Low,1,False,2026-02-12 12:04:50.580299
BENE_00132,GB89LYXL83192927302945,David Baker,Payne-Carter Bank,Nicaragua,Medium,1,False,2024-04-17 12:04:50.580299
BENE_00133,GB36FCXM59315399000811,Michael Hanson,"Richards, Harrison and Melton Bank",Tunisia,Low,0,False,2025-03-28 12:04:50.580299
BENE_00134,GB24OINU29429217590390,Jeffrey Zimmerman,Robinson PLC Bank,Russian Federation,Low,0,False,2025-04-03 12:04:50.581327
BENE_00135,GB47EQWZ45373263773430,Shelley Pope,Stafford LLC Bank,Bangladesh,Low,0,False,2025-12-25 12:04:50.581327
BENE_00136,GB39PPKW54370695459596,Randall Scott,"Brown, Baker and Solis Bank",Cook Islands,Low,1,False,2026-02-24 12:04:50.581327
BENE_00137,GB26LAAM00022585664603,Todd Coffey,Dunn Group Bank,Netherlands Antilles,Low,0,False,2025-01-19 12:04:50.581327
BENE_00138,GB52VLET67824984348816,Michael Little,Martinez-Moreno Bank,France,Low,0,False,2023-10-23 12:04:50.582326
BENE_00139,GB98XDHA25626083593994,David Torres,"Green, Greene and Thomas Bank",Gibraltar,Medium,1,False,2023-10-03 12:04:50.582326
BENE_00140,GB61JTKH30050682616359,Jennifer Logan,Anderson and Sons Bank,Portugal,Low,0,False,2025-04-13 12:04:50.582326
BENE_00141,GB02XHMU01872812961357,Tommy Porter MD,"Greene, Williamson and Ramirez Bank",Iraq,Low,0,False,2024-10-18 12:04:50.583327
BENE_00142,GB79HLLO85038944991261,Miranda Ross,Hernandez LLC Bank,Svalbard & Jan Mayen Islands,Low,0,False,2025-05-19 12:04:50.583327
BENE_00143,GB46EYEO18518619571414,Kelly Owens,Carpenter-Scott Bank,Gibraltar,High,0,False,2023-11-19 12:04:50.583327
BENE_00144,GB70GAYE21517513592468,Darryl Davis,Odonnell Inc Bank,Bulgaria,Low,1,False,2024-05-26 12:04:50.583327
BENE_00145,GB39VZXC78428948796555,Vanessa Johnson,"Phillips, Vasquez and Young Bank",Namibia,Medium,0,False,2023-11-25 12:04:50.584326
BENE_00146,GB04WCCL57630657032619,Daniel Ayers,"Larson, Sanders and Hall Bank",South Africa,Low,0,False,2024-10-15 12:04:50.584326
BENE_00147,GB48MSHF69280722298124,Sara Vazquez,"Sosa, Benson and Fowler Bank",Ukraine,High,1,False,2025-02-25 12:04:50.584859
BENE_00148,GB78KHVN04855673953874,Elizabeth Williams,"Knapp, King and Riddle Bank",Denmark,Low,0,False,2025-01-27 12:04:50.585438
BENE_00149,GB69TXOG69117557421730,Cheyenne Cobb,"Smith, Warren and Campbell Bank",Comoros,Medium,0,False,2024-02-27 12:04:50.586009
BENE_00150,GB80BUPP39247652538630,Erika Lyons,Lewis-Miller Bank,Costa Rica,Low,0,False,2026-03-03 12:04:50.586009
BENE_00151,GB36UDAZ19973791574882,Travis Lane,Jennings-Hendricks Bank,Bulgaria,Low,0,False,2026-02-12 12:04:50.586514
BENE_00152,GB23RALV25722385132899,Jennifer Page,Clayton-Marquez Bank,China,Low,0,False,2025-04-28 12:04:50.586514
BENE_00153,GB66EQPO12772323216787,Daniel Carroll,Powell-Carpenter Bank,Honduras,High,0,False,2025-04-12 12:04:50.586514
BENE_00154,GB47PIYK41439517463729,Carol Jones,Lowery Ltd Bank,Algeria,Low,0,False,2025-05-23 12:04:50.587557
BENE_00155,GB34UCML82610566283073,Shirley Fleming,Black LLC Bank,Bahamas,Low,1,False,2023-09-19 12:04:50.587557
BENE_00156,GB83BNCR25282252821518,Jacob Baker,Dorsey Inc Bank,Philippines,Low,0,False,2023-09-17 12:04:50.587557
BENE_00157,GB17ZEHR59314840759034,Whitney Green,Maxwell-Hamilton Bank,Georgia,Low,0,False,2025-04-12 12:04:50.587557
BENE_00158,GB34JRUS87901714385971,Christopher Barnett,Ritter-Keller Bank,Tuvalu,Low,1,False,2024-07-01 12:04:50.588526
BENE_00159,GB24RDEA43198099375885,Elizabeth Bowman,Taylor-Ellison Bank,Peru,Low,0,False,2025-12-04 12:04:50.588526
BENE_00160,GB81GZMD80242990372321,Sherry Pham,Lewis Inc Bank,Palau,Low,0,False,2024-07-10 12:04:50.588526
BENE_00161,GB59SSLL26525508727394,Nancy Lee,Reyes PLC Bank,Uruguay,Low,0,False,2024-08-16 12:04:50.588526
BENE_00162,GB02ECFY29225755521597,Jocelyn Harris,"Decker, Hawkins and Edwards Bank",Sudan,Low,0,False,2023-11-28 12:04:50.589525
BENE_00163,GB69OTMT41139393813802,James Gonzales,Smith Ltd Bank,Iran,Low,0,False,2024-09-12 12:04:50.589525
BENE_00164,GB31GEYY00535149842289,Kenneth Walter,Wilson PLC Bank,Slovenia,Low,0,False,2024-03-20 12:04:50.589525
BENE_00165,GB11PYSB78347364625769,Michael Clarke,Sutton and Sons Bank,Antarctica (the territory South of 60 deg S),Low,0,False,2024-08-26 12:04:50.589525
BENE_00166,GB17FUFI65268132469748,Joshua Gonzales,Costa-Lara Bank,Azerbaijan,Low,0,False,2024-06-07 12:04:50.590550
BENE_00167,GB54HRIS70025926757313,Sara King,"Hall, Carter and Hanson Bank",Madagascar,Low,0,False,2024-03-12 12:04:50.590550
BENE_00168,GB38EHXW36193681454912,Jeffrey Miller,Hill and Sons Bank,Guatemala,High,1,False,2024-12-26 12:04:50.590550
BENE_00169,GB03CUFF75134534048226,Jerry Molina,Neal LLC Bank,Iran,High,1,False,2025-09-12 12:04:50.590550
BENE_00170,GB50FXWR43732157162169,Ms. Michelle Foster DVM,"Vaughn, Hall and Bruce Bank",Turkey,Low,0,False,2025-10-13 12:04:50.591548
BENE_00171,GB64IWWZ31703466520296,Rebecca Williams,"Davis, Lawrence and Norris Bank",Venezuela,High,0,False,2025-03-13 12:04:50.591548
BENE_00172,GB47WZZH91304311229185,John Dawson,Simmons-Ryan Bank,Cape Verde,Medium,1,False,2024-03-21 12:04:50.591548
BENE_00173,GB49KXVH77718316407448,Ryan Howard,Singh-Dawson Bank,British Indian Ocean Territory (Chagos Archipelago),High,0,False,2023-09-25 12:04:50.592548
BENE_00174,GB94CUEN80613365507516,Abigail Wang,"Mejia, Brown and Carter Bank",Uruguay,Low,0,False,2023-11-08 12:04:50.592548
BENE_00175,GB53QGEL70236923859916,Charles Robinson,Hernandez-Cain Bank,Christmas Island,Low,0,False,2025-03-13 12:04:50.592548
BENE_00176,GB34OXLM29272111314480,Lauren Morgan,Garner-Morales Bank,Uruguay,Low,0,False,2026-02-25 12:04:50.592548
BENE_00177,GB92EDDH48339461912898,Justin Jones,"Jones, Beck and Bradley Bank",Wallis and Futuna,High,1,False,2025-08-10 12:04:50.592548
BENE_00178,GB29CFAB03389320608752,Emily Estrada,Perez LLC Bank,Maldives,Medium,0,False,2025-11-29 12:04:50.592548
BENE_00179,GB46SYQV14665481975993,Casey Conley,"Morris, Moses and Griffith Bank",Belarus,Low,0,False,2025-10-13 12:04:50.594083
BENE_00180,GB31MDKY11225105585878,Jessica Robertson,Walker and Sons Bank,Uruguay,Low,1,False,2025-01-12 12:04:50.594083
BENE_00181,GB93WVOL21997384131975,Adriana Kerr,Williamson Inc Bank,Haiti,Medium,0,False,2024-01-20 12:04:50.594083
BENE_00182,GB71DQCZ78895300814636,Joshua Burgess,Rogers-Munoz Bank,Anguilla,High,1,False,2024-12-23 12:04:50.594083
BENE_00183,GB21GHQX93633344385438,John Turner,"Wright, Spencer and Werner Bank",Israel,Low,1,False,2024-10-31 12:04:50.595117
BENE_00184,GB88LNLN25434000682405,Sandra Hernandez,"Davis, Cooper and Bryan Bank",Cote d'Ivoire,Low,0,False,2025-01-11 12:04:50.595117
BENE_00185,GB67BMEO52440079799121,Vanessa Williams,Harris-Moore Bank,Saint Pierre and Miquelon,High,0,False,2026-02-08 12:04:50.595117
BENE_00186,GB84FUJJ62627748435091,Billy Dean,Branch Group Bank,Jamaica,High,0,False,2024-11-20 12:04:50.596118
BENE_00187,GB54ARNQ06793289136830,Ashley Brown,Wall-Smith Bank,Benin,Low,0,False,2025-08-29 12:04:50.596118
BENE_00188,GB29NWNR56220820985579,Justin Hess,Wang-Wagner Bank,Northern Mariana Islands,High,1,False,2024-09-24 12:04:50.596118
BENE_00189,GB09LNOF29249789952480,Kristy Henderson,Martinez Inc Bank,Equatorial Guinea,Low,0,False,2024-12-02 12:04:50.597092
BENE_00190,GB98YZAF36615400760131,Gina Trujillo,Evans Ltd Bank,Monaco,Low,1,False,2023-11-20 12:04:50.597092
BENE_00191,GB55RGPK82976022940583,Sandra Bryant,Wilson and Sons Bank,Croatia,Low,0,False,2024-11-16 12:04:50.597092
BENE_00192,GB40XKJL69651201633935,Elizabeth Hopkins,"Holmes, Lopez and King Bank",Zambia,Low,0,False,2024-08-03 12:04:50.597092
BENE_00193,GB69YUWC26917410745005,Todd Underwood,Dennis Ltd Bank,Portugal,Low,0,False,2025-03-21 12:04:50.598105
BENE_00194,GB19ERKW70442170851845,Ms. Maria Gordon,Powell LLC Bank,Spain,High,1,False,2025-10-01 12:04:50.598105
